car_name,price,year,engine,mileage,valyuta,exchange_rate
Hyundai Sonata,25600,2013,2.4,46210,AZN,1.00
Hyundai Sonata,18900,2009,2.4,102778,AZN,1.00
Hyundai Sonata,14500,2007,2.4,147000,AZN,1.00
Hyundai Sonata,17500,2014,2.4,39000,$,1.70
Hyundai Sonata,14700,2006,2.4,147300,AZN,1.00
Hyundai Sonata,15500,2008,2.0,162000,AZN,1.00
Hyundai Sonata,21800,2013,2.0,80443,AZN,1.00
Hyundai Sonata,17900,2013,2.4,86400,AZN,1.00
Hyundai Sonata,16700,2015,2.4,52000,$,1.70
Hyundai Sonata,18900,2009,2.0,118000,AZN,1.00
Hyundai Sonata,13200,2007,2.4,169000,AZN,1.00
Hyundai Sonata,19500,2010,2.4,94300,AZN,1.00
Hyundai Sonata,17900,2008,2.4,169000,AZN,1.00
Hyundai Sonata,18000,2009,2.4,210200,AZN,1.00
Hyundai Sonata,17500,2009,2.4,250000,AZN,1.00
Hyundai Sonata,21900,2011,2.4,145000,AZN,1.00
Hyundai Sonata,13200,2007,2.4,167000,AZN,1.00
Hyundai Sonata,20000,2010,2.4,145000,AZN,1.00
Hyundai Sonata,16500,2008,2.0,140000,AZN,1.00
Hyundai Sonata,18900,2010,2.4,192000,AZN,1.00
Hyundai Sonata,21600,2011,2.0,90000,AZN,1.00
Hyundai Sonata,7900,2010,2.0,157000,AZN,1.00
Hyundai Sonata,16200,2008,2.4,141000,AZN,1.00
Hyundai Sonata,16800,2015,2.4,44000,$,1.70
Hyundai Sonata,20500,2010,2.4,143000,AZN,1.00
Hyundai Sonata,17500,2009,2.4,175147,AZN,1.00
Hyundai Sonata,19300,2008,2.0,73000,AZN,1.00
Hyundai Sonata,20900,2011,2.4,106000,AZN,1.00
Hyundai Sonata,12800,2006,2.4,312450,AZN,1.00
Hyundai Sonata,26800,2014,2.4,50000,AZN,1.00
Hyundai Sonata,19300,2013,2.4,80000,AZN,1.00
Hyundai Sonata,13800,2006,2.4,200010,AZN,1.00
Hyundai Sonata,14500,2007,2.4,122240,AZN,1.00
Hyundai Sonata,20900,2011,2.0,75300,AZN,1.00
Hyundai Sonata,19500,2014,2.0,28500,$,1.70
Hyundai Sonata,13500,2005,2.4,296000,AZN,1.00
Hyundai Sonata,13700,2005,2.4,200000,AZN,1.00
Hyundai Sonata,21000,2011,2.0,68000,AZN,1.00
Hyundai Sonata,21600,2014,2.4,75400,AZN,1.00
Hyundai Sonata,22900,2012,2.4,129000,AZN,1.00
Hyundai Sonata,22000,2010,2.4,98800,AZN,1.00
Hyundai Sonata,19900,2011,2.4,74000,AZN,1.00
Hyundai Sonata,4400,1998,2.0,194732,AZN,1.00
Hyundai Sonata,13500,2006,2.4,145800,AZN,1.00
Hyundai Sonata,20000,2010,2.4,121000,AZN,1.00
Hyundai Sonata,3600,1997,2.0,200000,AZN,1.00
Hyundai Sonata,31800,2014,2.0,71000,AZN,1.00
Hyundai Sonata,22400,2013,2.4,80600,AZN,1.00
Hyundai Sonata,22000,2012,2.0,68350,AZN,1.00
Hyundai Sonata,14900,2008,2.0,189500,AZN,1.00
Hyundai Sonata,12800,2005,2.4,198900,AZN,1.00
Hyundai Sonata,15700,2008,2.4,170000,AZN,1.00
Hyundai Sonata,19500,2010,2.4,160000,AZN,1.00
Hyundai Sonata,18500,2010,2.4,230000,AZN,1.00
Hyundai Sonata,14000,2006,2.4,119000,AZN,1.00
Hyundai Sonata,24400,2011,2.0,86000,AZN,1.00
Hyundai Sonata,22500,2012,2.4,97000,AZN,1.00
Hyundai Sonata,11700,2006,2.4,267757,AZN,1.00
Hyundai Sonata,18900,2010,2.4,165000,AZN,1.00
Hyundai Sonata,21200,2011,2.4,97000,AZN,1.00
Hyundai Sonata,27000,2012,2.4,123000,AZN,1.00
Hyundai Sonata,26500,2014,2.4,50000,AZN,1.00
Hyundai Sonata,21500,2012,2.0,850002,AZN,1.00
Hyundai Sonata,18500,2009,2.0,119900,AZN,1.00
Hyundai Sonata,16800,2008,2.4,200000,AZN,1.00
Hyundai Sonata,25500,2010,2.4,64000,AZN,1.00
Hyundai Sonata,16000,2008,2.0,211543,AZN,1.00
Hyundai Sonata,21800,2012,2.0,63000,AZN,1.00
Hyundai Sonata,26600,2015,2.4,59000,AZN,1.00
Hyundai Sonata,14500,2009,2.4,166700,AZN,1.00
Hyundai Sonata,18700,2010,2.4,138000,AZN,1.00
Hyundai Sonata,18000,2008,2.4,90500,AZN,1.00
Hyundai Sonata,22000,2009,2.0,140000,AZN,1.00
Hyundai Sonata,11900,2011,2.0,82000,$,1.70
Hyundai Sonata,21000,2011,2.0,103000,AZN,1.00
Hyundai Sonata,19000,2010,2.0,157000,AZN,1.00
Hyundai Sonata,19500,2010,2.4,117000,AZN,1.00
Hyundai Sonata,13500,2006,2.4,213000,AZN,1.00
Hyundai Sonata,17900,2008,2.0,192000,AZN,1.00
Hyundai Sonata,18000,2009,2.4,120000,AZN,1.00
Hyundai Sonata,20900,2011,2.0,120000,AZN,1.00
Hyundai Sonata,21900,2012,2.0,66000,AZN,1.00
Hyundai Sonata,8300,2004,2.0,224000,AZN,1.00
Hyundai Sonata,18700,2009,2.4,102778,AZN,1.00
Hyundai Sonata,21750,2013,2.0,137112,AZN,1.00
Hyundai Sonata,5600,1999,2.0,214000,AZN,1.00
Hyundai Sonata,21700,2012,2.0,67400,AZN,1.00
Hyundai Sonata,26800,2015,2.4,24000,AZN,1.00
Hyundai Sonata,12700,2006,3.3,147000,AZN,1.00
Hyundai Sonata,16800,2010,2.4,230000,AZN,1.00
Hyundai Sonata,13000,2007,2.0,218000,AZN,1.00
Hyundai Sonata,25000,2013,2.4,46000,AZN,1.00
Hyundai Sonata,21500,2011,2.0,70400,AZN,1.00
Hyundai Sonata,18500,2008,2.0,133000,AZN,1.00
Hyundai Sonata,4900,2000,2.0,237000,AZN,1.00
Hyundai Sonata,15700,2008,2.4,148000,AZN,1.00
Hyundai Sonata,12500,2005,2.4,185776,AZN,1.00
Hyundai Sonata,12200,2005,3.3,179000,AZN,1.00
Hyundai Sonata,6700,2000,2.5,250000,AZN,1.00
Hyundai Sonata,21800,2010,2.4,230600,AZN,1.00
Hyundai Sonata,18500,2008,2.0,176000,AZN,1.00
Hyundai Sonata,21600,2013,2.0,78000,AZN,1.00
Hyundai Sonata,20000,2008,2.4,148000,AZN,1.00
Hyundai Sonata,8800,2006,2.4,280000,AZN,1.00
Hyundai Sonata,26900,2014,2.4,50000,AZN,1.00
Hyundai Sonata,18600,2009,2.4,57000,AZN,1.00
Hyundai Sonata,25000,2014,1.6,40000,AZN,1.00
Hyundai Sonata,16700,2015,2.4,23000,$,1.70
Hyundai Sonata,15800,2014,2.4,59100,$,1.70
Hyundai Sonata,17300,2007,2.0,47200,AZN,1.00
Hyundai Sonata,13400,2006,2.4,176000,AZN,1.00
Hyundai Sonata,21700,2012,2.0,83000,AZN,1.00
Hyundai Sonata,25000,2012,2.4,89000,AZN,1.00
Hyundai Sonata,18500,2015,2.0,31000,$,1.70
Hyundai Sonata,11800,2005,2.4,194800,AZN,1.00
Hyundai Sonata,11800,2005,2.0,207560,AZN,1.00
Hyundai Sonata,18200,2008,2.4,131000,AZN,1.00
Hyundai Sonata,18900,2009,2.4,19000,AZN,1.00
Hyundai Sonata,19200,2010,2.4,159000,AZN,1.00
Hyundai Sonata,22500,2011,2.0,86000,AZN,1.00
Hyundai Sonata,15500,2008,2.4,161000,AZN,1.00
Hyundai Sonata,19000,2010,2.4,155340,AZN,1.00
Hyundai Sonata,14500,2007,2.4,180000,AZN,1.00
Hyundai Sonata,21200,2013,2.4,81000,AZN,1.00
Hyundai Sonata,23200,2010,2.4,132000,AZN,1.00
Hyundai Sonata,3800,1995,1.8,330000,AZN,1.00
Hyundai Sonata,18700,2009,2.4,127200,AZN,1.00
