car_name,price,year,engine,mileage,valyuta,exchange_rate
LADA (VAZ) 2106,4500,2004,1.6,299000,AZN,1.00
LADA (VAZ) 2106,2450,1984,1.3,2355,AZN,1.00
LADA (VAZ) 2106,2450,1984,1.3,2355,AZN,1.00
LADA (VAZ) 2106,2200,1986,1.5,225888,AZN,1.00
LADA (VAZ) 2106,1800,1987,1.3,125000,AZN,1.00
LADA (VAZ) 2106,4200,2004,1.6,205987,AZN,1.00
LADA (VAZ) 2106,4000,1998,1.6,262000,AZN,1.00
LADA (VAZ) 2106,3800,1994,1.6,170000,AZN,1.00
LADA (VAZ) 2106,3200,1985,1.5,303000,AZN,1.00
LADA (VAZ) 2106,3400,1985,1.5,300000,AZN,1.00
LADA (VAZ) 2106,2500,1992,1.3,111000,AZN,1.00
LADA (VAZ) 2106,2550,1988,1.5,250000,AZN,1.00
LADA (VAZ) 2106,2450,1990,1.5,282000,AZN,1.00
LADA (VAZ) 2106,4500,2004,1.6,200000,AZN,1.00
LADA (VAZ) 2106,2700,1985,1.5,250000,AZN,1.00
LADA (VAZ) 2106,2100,1986,1.3,393447,AZN,1.00
LADA (VAZ) 2106,2500,1984,1.3,391750,AZN,1.00
LADA (VAZ) 2106,2300,1983,1.5,242750,AZN,1.00
LADA (VAZ) 2106,2650,1991,1.5,295888,AZN,1.00
LADA (VAZ) 2106,4600,2006,1.6,165432,AZN,1.00
LADA (VAZ) 2106,4200,1984,1.6,200000,AZN,1.00
LADA (VAZ) 2106,2600,1988,1.6,250000,AZN,1.00
LADA (VAZ) 2106,4300,2000,1.6,95548,AZN,1.00
LADA (VAZ) 2106,3400,1989,1.3,216333,AZN,1.00
LADA (VAZ) 2106,2900,1991,1.5,265000,AZN,1.00
LADA (VAZ) 2106,3500,1985,1.3,458000,AZN,1.00
LADA (VAZ) 2106,3900,1984,1.3,325000,AZN,1.00
LADA (VAZ) 2106,4400,2004,1.6,282541,AZN,1.00
LADA (VAZ) 2106,4900,2006,1.6,226068,AZN,1.00
LADA (VAZ) 2106,1950,1978,1.3,312345,AZN,1.00
LADA (VAZ) 2106,3500,1993,1.5,270000,AZN,1.00
LADA (VAZ) 2106,2600,1983,1.5,232000,AZN,1.00
LADA (VAZ) 2106,2900,1993,1.5,233600,AZN,1.00
