car_name,price,year,engine,mileage,valyuta,exchange_rate
LADA (VAZ) Niva,8000,2012,1.7,97500,AZN,1.00
LADA (VAZ) Niva,12200,2015,1.7,54000,AZN,1.00
LADA (VAZ) Niva,8600,2012,1.7,96000,AZN,1.00
LADA (VAZ) Niva,12900,2015,1.7,51340,AZN,1.00
LADA (VAZ) Niva,16900,2017,1.7,2000,AZN,1.00
LADA (VAZ) Niva,11300,2015,1.7,38000,AZN,1.00
LADA (VAZ) Niva,13800,2017,1.7,8500,AZN,1.00
LADA (VAZ) Niva,14800,2015,1.7,62000,AZN,1.00
LADA (VAZ) Niva,9000,2013,1.7,129544,AZN,1.00
LADA (VAZ) Niva,10400,2013,1.7,76000,AZN,1.00
LADA (VAZ) Niva,11000,2015,1.7,63000,AZN,1.00
LADA (VAZ) Niva,13800,2012,1.7,77777,AZN,1.00
LADA (VAZ) Niva,10700,2015,1.7,45000,AZN,1.00
LADA (VAZ) Niva,17800,2018,1.7,0,AZN,1.00
LADA (VAZ) Niva,13900,2015,1.7,40000,AZN,1.00
LADA (VAZ) Niva,12600,2015,1.7,54900,AZN,1.00
LADA (VAZ) Niva,17200,2017,1.7,14000,AZN,1.00
LADA (VAZ) Niva,9400,2015,1.7,103124,AZN,1.00
LADA (VAZ) Niva,13800,2015,1.7,30000,AZN,1.00
LADA (VAZ) Niva,9300,2014,1.7,49444,AZN,1.00
LADA (VAZ) Niva,12000,2015,1.7,70000,AZN,1.00
LADA (VAZ) Niva,4300,1995,1.7,300000,AZN,1.00
LADA (VAZ) Niva,11800,2014,1.7,92000,AZN,1.00
LADA (VAZ) Niva,9600,2014,1.7,82000,AZN,1.00
LADA (VAZ) Niva,8300,2012,1.7,80122,AZN,1.00
LADA (VAZ) Niva,9700,2014,1.7,55000,AZN,1.00
LADA (VAZ) Niva,6400,2006,1.7,170000,AZN,1.00
LADA (VAZ) Niva,9900,2013,1.7,90000,AZN,1.00
LADA (VAZ) Niva,14500,2015,1.7,21000,AZN,1.00
LADA (VAZ) Niva,10500,2015,1.7,92000,AZN,1.00
LADA (VAZ) Niva,4300,1997,1.7,98000,AZN,1.00
LADA (VAZ) Niva,11500,2016,1.7,24000,AZN,1.00
LADA (VAZ) Niva,14500,2015,1.7,22000,AZN,1.00
LADA (VAZ) Niva,16500,2017,1.7,22600,AZN,1.00
LADA (VAZ) Niva,23900,2017,1.7,9999,AZN,1.00
LADA (VAZ) Niva,11500,2013,1.7,113600,AZN,1.00
LADA (VAZ) Niva,10900,2013,1.7,55000,AZN,1.00
LADA (VAZ) Niva,5200,1999,1.7,141085,AZN,1.00
LADA (VAZ) Niva,2700,1984,1.6,250000,AZN,1.00
LADA (VAZ) Niva,6700,2006,1.7,162000,AZN,1.00
LADA (VAZ) Niva,15000,2017,1.7,550,AZN,1.00
LADA (VAZ) Niva,9700,2013,1.7,107800,AZN,1.00
LADA (VAZ) Niva,12300,2014,1.7,59000,AZN,1.00
LADA (VAZ) Niva,11800,2014,1.7,92000,AZN,1.00
LADA (VAZ) Niva,15900,2017,1.7,22000,AZN,1.00
LADA (VAZ) Niva,11700,2013,1.7,78000,AZN,1.00
LADA (VAZ) Niva,13000,1997,1.7,30267,AZN,1.00
LADA (VAZ) Niva,7100,2008,1.7,110000,AZN,1.00
LADA (VAZ) Niva,8850,2013,1.7,103000,AZN,1.00
LADA (VAZ) Niva,10500,2015,1.7,30000,AZN,1.00
LADA (VAZ) Niva,8400,2013,1.7,106100,AZN,1.00
LADA (VAZ) Niva,12000,2015,1.7,12000,AZN,1.00
LADA (VAZ) Niva,12200,2014,1.7,74000,AZN,1.00
LADA (VAZ) Niva,10500,2015,1.7,76000,AZN,1.00
LADA (VAZ) Niva,11000,2014,1.7,48000,AZN,1.00
LADA (VAZ) Niva,8500,2009,1.7,135722,AZN,1.00
LADA (VAZ) Niva,8000,2013,1.7,94000,AZN,1.00
LADA (VAZ) Niva,17800,2018,1.7,0,AZN,1.00
LADA (VAZ) Niva,17800,2018,1.7,0,AZN,1.00
LADA (VAZ) Niva,27000,2017,1.7,40001,AZN,1.00
LADA (VAZ) Niva,4200,1984,1.2,275000,AZN,1.00
LADA (VAZ) Niva,4600,2000,1.7,226000,AZN,1.00
LADA (VAZ) Niva,7700,2008,1.7,145000,AZN,1.00
LADA (VAZ) Niva,6500,2005,1.7,212421,AZN,1.00
LADA (VAZ) Niva,23900,2017,1.7,9999,AZN,1.00
LADA (VAZ) Niva,10720,2013,1.7,49000,AZN,1.00
LADA (VAZ) Niva,11500,2010,1.7,99808,AZN,1.00
LADA (VAZ) Niva,2600,1992,1.6,215000,AZN,1.00
LADA (VAZ) Niva,16200,2017,1.7,9500,AZN,1.00
LADA (VAZ) Niva,7600,2005,1.7,102000,AZN,1.00
LADA (VAZ) Niva,14800,2015,1.7,19300,AZN,1.00
LADA (VAZ) Niva,2700,1984,1.6,476523,AZN,1.00
LADA (VAZ) Niva,18000,2017,1.7,8000,AZN,1.00
LADA (VAZ) Niva,10600,2014,1.7,83000,AZN,1.00
LADA (VAZ) Niva,5800,1999,1.7,200000,AZN,1.00
LADA (VAZ) Niva,11000,2014,1.7,49000,AZN,1.00
