car_name,price,year,engine,mileage,valyuta,exchange_rate
Opel Astra,7250,1998,1.6,365000,AZN,1.00
Opel Astra,6400,1998,1.8,271000,AZN,1.00
Opel Astra,8000,1999,1.6,278760,AZN,1.00
Opel Astra,8700,2000,2.0,273000,AZN,1.00
Opel Astra,11200,2008,1.8,145000,AZN,1.00
Opel Astra,7000,1999,1.6,400000,AZN,1.00
Opel Astra,13600,2006,1.6,156000,AZN,1.00
Opel Astra,9000,2001,1.6,310000,AZN,1.00
Opel Astra,10700,2006,1.4,139300,AZN,1.00
Opel Astra,6750,2001,1.8,234127,AZN,1.00
Opel Astra,6800,1998,1.6,375000,AZN,1.00
Opel Astra,7500,1998,1.6,300000,AZN,1.00
Opel Astra,7600,1998,1.6,256854,AZN,1.00
Opel Astra,6600,1998,1.6,360000,AZN,1.00
Opel Astra,3500,1993,1.6,320000,AZN,1.00
Opel Astra,7900,1999,1.6,299000,AZN,1.00
Opel Astra,8100,2000,1.8,162313,AZN,1.00
Opel Astra,4800,1997,1.4,320000,AZN,1.00
Opel Astra,2450,1995,1.7,178246,AZN,1.00
Opel Astra,7000,1999,1.6,325000,AZN,1.00
Opel Astra,8888,1998,1.8,333333,AZN,1.00
Opel Astra,7400,1998,1.6,210000,AZN,1.00
Opel Astra,4200,1995,1.6,425361,AZN,1.00
Opel Astra,4700,1995,1.6,311000,AZN,1.00
Opel Astra,6900,1998,1.6,232114,AZN,1.00
Opel Astra,8400,1998,1.6,199800,AZN,1.00
Opel Astra,11500,2005,1.8,212700,AZN,1.00
Opel Astra,6150,1999,1.6,223565,AZN,1.00
Opel Astra,7500,1998,1.6,243547,AZN,1.00
Opel Astra,7300,1998,1.6,295000,AZN,1.00
Opel Astra,3200,1993,1.6,206000,AZN,1.00
Opel Astra,8000,2000,1.6,417000,AZN,1.00
Opel Astra,6999,1999,1.6,322222,AZN,1.00
Opel Astra,7500,1999,1.6,297000,AZN,1.00
Opel Astra,4000,1994,1.7,342799,AZN,1.00
Opel Astra,7300,1998,1.6,497350,AZN,1.00
Opel Astra,8300,2001,1.6,340000,AZN,1.00
Opel Astra,7600,1998,1.6,277000,AZN,1.00
Opel Astra,8000,2000,1.6,200000,AZN,1.00
Opel Astra,7900,1999,1.8,255352,AZN,1.00
Opel Astra,10600,2006,1.9,199000,AZN,1.00
Opel Astra,8200,1999,2.0,230000,AZN,1.00
Opel Astra,12600,2008,1.8,71000,AZN,1.00
Opel Astra,13300,2007,1.8,82000,AZN,1.00
Opel Astra,9800,1999,1.8,184200,AZN,1.00
Opel Astra,5300,1997,1.6,367800,AZN,1.00
Opel Astra,11300,2005,1.4,200000,AZN,1.00
Opel Astra,8800,2000,1.6,211622,AZN,1.00
Opel Astra,7300,2000,1.7,285000,AZN,1.00
Opel Astra,14200,2010,1.6,185000,AZN,1.00
Opel Astra,6000,1998,1.7,145000,AZN,1.00
Opel Astra,8200,2000,2.0,175000,AZN,1.00
Opel Astra,8600,2001,1.6,216057,AZN,1.00
Opel Astra,8200,1998,1.6,212733,AZN,1.00
Opel Astra,7200,2006,1.3,166000,AZN,1.00
Opel Astra,7000,1998,1.6,311000,AZN,1.00
Opel Astra,14500,2012,1.6,215000,AZN,1.00
Opel Astra,7500,1999,1.8,263000,AZN,1.00
Opel Astra,7200,1998,1.6,321358,AZN,1.00
Opel Astra,7800,1998,1.6,207000,AZN,1.00
Opel Astra,7800,1998,1.6,223000,AZN,1.00
Opel Astra,4500,1995,1.6,371751,$,1.70
Opel Astra,6200,1997,1.6,452300,AZN,1.00
Opel Astra,7500,1999,1.6,270000,AZN,1.00
Opel Astra,4300,1997,1.6,225000,AZN,1.00
Opel Astra,11200,2006,1.4,181000,AZN,1.00
Opel Astra,6800,1999,1.6,258000,AZN,1.00
Opel Astra,8888,1998,1.8,222222,AZN,1.00
Opel Astra,6900,1998,2.0,265000,AZN,1.00
Opel Astra,8500,2003,1.8,270000,AZN,1.00
Opel Astra,4500,1996,1.6,590000,AZN,1.00
Opel Astra,6900,1998,1.6,230000,AZN,1.00
Opel Astra,6250,1998,1.6,300000,AZN,1.00
Opel Astra,7500,1998,1.6,238000,AZN,1.00
Opel Astra,7300,1998,1.6,275000,AZN,1.00
Opel Astra,7000,1998,1.8,305652,AZN,1.00
Opel Astra,8500,2001,1.6,176000,AZN,1.00
Opel Astra,8600,1999,1.8,255000,AZN,1.00
Opel Astra,7700,1999,1.6,415000,AZN,1.00
Opel Astra,6950,2000,1.6,175120,AZN,1.00
Opel Astra,4500,1996,1.6,200000,AZN,1.00
Opel Astra,7500,1999,1.6,191000,AZN,1.00
Opel Astra,8100,1998,1.6,217000,AZN,1.00
Opel Astra,4700,1993,1.8,334752,AZN,1.00
Opel Astra,13200,2010,1.7,123000,AZN,1.00
Opel Astra,7700,1998,1.6,214000,AZN,1.00
Opel Astra,6800,1998,1.6,210000,AZN,1.00
Opel Astra,7800,1999,1.6,433333,AZN,1.00
Opel Astra,8200,1998,1.6,317000,AZN,1.00
Opel Astra,11200,2005,1.4,162000,AZN,1.00
Opel Astra,5200,1999,2.0,381831,AZN,1.00
Opel Astra,8500,2000,1.6,231000,AZN,1.00
Opel Astra,6900,1999,1.6,225000,AZN,1.00
Opel Astra,12900,2008,1.7,153000,AZN,1.00
Opel Astra,8000,1998,1.6,213000,AZN,1.00
Opel Astra,8000,2000,1.6,452290,AZN,1.00
Opel Astra,6850,1998,1.6,277777,AZN,1.00
Opel Astra,5000,1998,1.6,257000,AZN,1.00
Opel Astra,7200,2000,1.6,280000,AZN,1.00
Opel Astra,7900,2000,1.6,217000,AZN,1.00
Opel Astra,7600,1998,1.6,215000,AZN,1.00
Opel Astra,5500,1998,1.6,280000,AZN,1.00
Opel Astra,8200,1999,1.6,222343,AZN,1.00
Opel Astra,12000,2008,1.8,210000,AZN,1.00
Opel Astra,8400,1999,1.6,329000,AZN,1.00
Opel Astra,12300,2005,1.9,288888,AZN,1.00
Opel Astra,9000,2000,1.6,201000,AZN,1.00
Opel Astra,11700,2005,1.8,247000,AZN,1.00
Opel Astra,4000,1997,1.7,350000,AZN,1.00
Opel Astra,10900,2005,1.8,130000,AZN,1.00
Opel Astra,7700,2001,1.6,270000,AZN,1.00
Opel Astra,7700,1998,1.6,324000,AZN,1.00
Opel Astra,7200,1999,1.6,220000,AZN,1.00
Opel Astra,9000,1998,2.0,220000,AZN,1.00
Opel Astra,7500,1999,1.6,412000,AZN,1.00
Opel Astra,7300,1999,1.6,280000,AZN,1.00
Opel Astra,4300,1996,2.0,278820,AZN,1.00
Opel Astra,7450,1998,1.6,250000,AZN,1.00
Opel Astra,7000,1998,1.6,350000,AZN,1.00
Opel Astra,14500,2010,1.6,185000,AZN,1.00
Opel Astra,4000,1993,1.8,384555,AZN,1.00
Opel Astra,8500,2002,1.5,226000,AZN,1.00
Opel Astra,11950,2006,1.4,201423,AZN,1.00
Opel Astra,7700,2000,1.6,360000,AZN,1.00
Opel Astra,13200,2006,1.6,156000,AZN,1.00
Opel Astra,8000,1999,1.6,262645,AZN,1.00
Opel Astra,8500,2000,1.6,252206,AZN,1.00
Opel Astra,4000,1993,1.4,337486,AZN,1.00
Opel Astra,5500,1997,1.6,360000,AZN,1.00
Opel Astra,6400,2000,1.6,280000,AZN,1.00
Opel Astra,8700,1998,2.0,312345,AZN,1.00
Opel Astra,7800,1999,1.8,221280,AZN,1.00
Opel Astra,12800,2005,1.9,232000,AZN,1.00
Opel Astra,4600,1998,1.8,36402,AZN,1.00
Opel Astra,8800,1998,2.0,266000,AZN,1.00
Opel Astra,7150,2000,1.6,223008,AZN,1.00
Opel Astra,6700,1998,2.0,217561,AZN,1.00
Opel Astra,6800,1999,1.6,416000,AZN,1.00
Opel Astra,5000,1994,1.4,186053,AZN,1.00
Opel Astra,6100,1998,1.6,175898,AZN,1.00
Opel Astra,7800,1998,1.6,295000,AZN,1.00
Opel Astra,13500,2011,1.6,139000,AZN,1.00
Opel Astra,8800,2001,1.7,280000,AZN,1.00
Opel Astra,3500,1997,1.6,397359,AZN,1.00
Opel Astra,8800,2001,1.8,269000,AZN,1.00
Opel Astra,3800,1993,1.6,291000,AZN,1.00
Opel Astra,6800,1998,1.6,298000,AZN,1.00
Opel Astra,7200,1998,1.6,280000,AZN,1.00
Opel Astra,5000,1996,1.6,300000,AZN,1.00
Opel Astra,4500,1996,1.6,230000,AZN,1.00
Opel Astra,11200,2005,1.4,120000,AZN,1.00
Opel Astra,3700,1994,1.4,387000,AZN,1.00
Opel Astra,3700,1995,1.7,235465,AZN,1.00
Opel Astra,6300,1998,2.0,154000,AZN,1.00
Opel Astra,8600,1999,1.8,336400,AZN,1.00
Opel Astra,8500,2000,2.0,312000,AZN,1.00
Opel Astra,5800,2007,1.9,207000,AZN,1.00
Opel Astra,12500,2007,1.8,99000,AZN,1.00
Opel Astra,7300,1999,1.6,343523,AZN,1.00
Opel Astra,7300,1999,1.6,343523,AZN,1.00
Opel Astra,7300,1999,1.6,343523,AZN,1.00
Opel Astra,7300,1999,1.6,343523,AZN,1.00
Opel Astra,3800,1993,2.0,350000,AZN,1.00
Opel Astra,4500,1994,1.6,38742,AZN,1.00
Opel Astra,7900,2000,1.8,296368,AZN,1.00
Opel Astra,8300,1999,1.6,450000,AZN,1.00
Opel Astra,8900,2002,1.6,189000,AZN,1.00
Opel Astra,12700,2005,1.9,270000,AZN,1.00
Opel Astra,9500,2000,2.0,334000,AZN,1.00
Opel Astra,11000,2005,1.3,223000,AZN,1.00
Opel Astra,7300,1999,1.6,250000,AZN,1.00
Opel Astra,12900,2009,1.4,120000,AZN,1.00
Opel Astra,7400,1998,1.6,395000,AZN,1.00
Opel Astra,4500,1997,1.6,468435,AZN,1.00
Opel Astra,5300,1993,1.6,458502,AZN,1.00
Opel Astra,9300,1998,1.6,431336,AZN,1.00
Opel Astra,8300,1999,1.6,286900,AZN,1.00
Opel Astra,12300,2008,1.3,235000,AZN,1.00
Opel Astra,4500,1993,1.4,399850,AZN,1.00
Opel Astra,3800,2008,1.8,192000,$,1.70
Opel Astra,14200,2009,1.4,290000,AZN,1.00
Opel Astra,12700,2005,1.4,174000,AZN,1.00
Opel Astra,12500,2007,1.9,210000,AZN,1.00
Opel Astra,14500,2010,1.6,185200,AZN,1.00
Opel Astra,11600,2006,1.4,135000,AZN,1.00
Opel Astra,5300,1995,1.6,380000,AZN,1.00
Opel Astra,9800,1999,1.8,160000,AZN,1.00
Opel Astra,5100,1997,1.6,275000,AZN,1.00
Opel Astra,11400,2006,1.4,167500,AZN,1.00
Opel Astra,8400,1998,1.6,300000,AZN,1.00
Opel Astra,5300,1996,16,198500,AZN,1.00
Opel Astra,8900,2001,1.6,196000,AZN,1.00
Opel Astra,3800,1991,1.8,287600,AZN,1.00
Opel Astra,3800,1991,1.8,287600,AZN,1.00
Opel Astra,6800,2010,1.6,70000,AZN,1.00
Opel Astra,7650,2005,1.7,215000,AZN,1.00
Opel Astra,7650,1999,1.8,258963,AZN,1.00
Opel Astra,6800,2004,2.4,23121,AZN,1.00
Opel Astra,7650,2005,1.7,215000,AZN,1.00
Opel Astra,11800,2006,1.4,160000,AZN,1.00
Opel Astra,11800,2006,1.4,160000,AZN,1.00
Opel Astra,8500,2009,1.9,220000,$,1.70
Opel Astra,5100,1996,1.6,305000,AZN,1.00
Opel Astra,4700,1995,1.7,300025,AZN,1.00
Opel Astra,7920,1998,1.8,252000,AZN,1.00
Opel Astra,4700,1995,1.7,300025,AZN,1.00
Opel Astra,7920,1998,1.8,252000,AZN,1.00
Opel Astra,8300,1998,1.6,270000,AZN,1.00
Opel Astra,8300,1998,1.6,270000,AZN,1.00
Opel Astra,6300,1997,1.8,170000,AZN,1.00
Opel Astra,9200,1998,1.6,300000,AZN,1.00
Opel Astra,8300,1998,1.6,306100,AZN,1.00
Opel Astra,7000,1998,1.6,387193,AZN,1.00
Opel Astra,7000,1998,1.6,387193,AZN,1.00
Opel Astra,14200,2009,1.4,290000,AZN,1.00
Opel Astra,12700,2008,1.4,147700,AZN,1.00
Opel Astra,14200,2009,1.4,290000,AZN,1.00
Opel Astra,12300,2006,1.4,236200,AZN,1.00
Opel Astra,12300,2006,1.4,236200,AZN,1.00
Opel Astra,10400,2008,1.3,219000,AZN,1.00
Opel Astra,10400,2008,1.3,219000,AZN,1.00
Opel Astra,21700,2010,2.4,158000,AZN,1.00
Opel Astra,8200,1999,1.6,232000,AZN,1.00
Opel Astra,8000,2000,1.6,337000,AZN,1.00
Opel Astra,11200,2006,1.3,148500,AZN,1.00
Opel Astra,11200,2006,1.3,148500,AZN,1.00
Opel Astra,7800,1998,1.6,290785,AZN,1.00
Opel Astra,6400,1999,1.6,590000,AZN,1.00
Opel Astra,9000,2005,1.5,228642,AZN,1.00
Opel Astra,7500,1999,1.6,286523,AZN,1.00
Opel Astra,5000,1996,1.6,339000,AZN,1.00
Opel Astra,9000,1999,2.0,298000,AZN,1.00
Opel Astra,5200,1997,1.6,290000,AZN,1.00
Opel Astra,14000,2010,1.4,156000,AZN,1.00
Opel Astra,8300,1998,1.6,315000,AZN,1.00
Opel Astra,9000,1998,1.6,315000,AZN,1.00
Opel Astra,5500,1997,1.6,365000,AZN,1.00
Opel Astra,10800,2006,1.4,180000,AZN,1.00
Opel Astra,3500,1997,1.8,220000,AZN,1.00
Opel Astra,8300,2000,1.6,280000,AZN,1.00
Opel Astra,8700,1998,1.6,298111,AZN,1.00
Opel Astra,8700,1998,1.6,298111,AZN,1.00
Opel Astra,12300,2005,1.3,202000,AZN,1.00
