car_name,price,year,engine,mileage,valyuta,exchange_rate
ABM Clipper,2000,2014,1.0,1600,AZN,1.00
Acura ZDX,22700,2010,3.7,80000,$,1.70
Alfa Romeo 146,6000,1997,1.6,237465,AZN,1.00
Alfa Romeo 164,4200,1994,2.0,320000,AZN,1.00
Alfa Romeo Giulietta,30000,2017,1.4,0,$,1.70
Alfa Romeo Giulietta,700,1983,1.6,388000,AZN,1.00
Alfa Romeo Giulietta,700,1983,1.6,388000,AZN,1.00
Alfa Romeo Giulietta,700,1983,1.6,388000,AZN,1.00
Alfa Romeo Giulietta,700,1983,1.6,388000,AZN,1.00
Alfa Romeo Giulietta,700,1983,1.6,388000,AZN,1.00
Alfa Romeo Giulietta,700,1983,1.6,388000,AZN,1.00
Alfa Romeo Mito,25000,2017,1.4,0,$,1.70
Alfa Romeo Mito,25000,2017,1.4,0,$,1.70
Aston Martin Rapide,68000,2011,6.0,55000,$,1.70
Audi 100,3800,1992,2.8,200000,AZN,1.00
Audi 100,4800,1993,2.6,239713,AZN,1.00
Audi 100,2300,1984,2.0,660000,AZN,1.00
Audi 100,2000,1987,2.0,250000,AZN,1.00
Audi 80,4200,1994,1.9,254098,AZN,1.00
Audi 80,2800,1990,1.8,280000,AZN,1.00
Audi 80,5000,1995,1.8,200000,AZN,1.00
Audi A3,6800,2002,1.8,199000,AZN,1.00
Audi A4,22000,2014,1.8,92000,$,1.70
Audi A4,11900,2006,2.0,220000,AZN,1.00
Audi A4,12500,2005,2.0,235000,AZN,1.00
Audi A4,7500,2001,1.9,257000,AZN,1.00
Audi A4,10500,2003,1.8,300000,AZN,1.00
Audi A4,5600,1999,1.8,350000,AZN,1.00
Audi A4,8000,2002,3.0,161500,AZN,1.00
Audi A4,15000,2002,2.5,144557,AZN,1.00
Audi A4,9300,2002,1.8,186000,AZN,1.00
Audi A4,9200,2004,2.0,222000,AZN,1.00
Audi A4,8000,2006,2.0,260000,AZN,1.00
Audi A4,9800,2002,1.8,152345,AZN,1.00
Audi A4,30500,1997,1.8,293000,AZN,1.00
Audi A4,8650,2004,1.8,15000,AZN,1.00
Audi A4,9800,2006,2.0,250000,AZN,1.00
Audi A4,25900,2012,2.0,140000,AZN,1.00
Audi A4,11500,2008,2.0,139600,AZN,1.00
Audi A4,10900,2004,1.8,200000,AZN,1.00
Audi A4,45100,2018,2.5,0,$,1.70
Audi A4,25500,2011,2.0,123000,AZN,1.00
Audi A4,7400,2012,1.6,450000,AZN,1.00
Audi A4,21000,2010,2.0,165000,$,1.70
Audi A4,13500,2006,2.0,200000,AZN,1.00
Audi A4,10500,2004,2.0,185000,AZN,1.00
Audi A4,9900,2006,2.0,197900,AZN,1.00
Audi A4,11000,2006,2.0,195000,AZN,1.00
Audi A4,8500,2003,1.8,418000,AZN,1.00
Audi A4,3000,1997,1.8,350000,AZN,1.00
Audi A4,7500,2002,2.4,265200,AZN,1.00
Audi A4,10500,2003,1.8,250000,AZN,1.00
Audi A4,13600,2007,2.0,176000,AZN,1.00
Audi A4,12400,2006,2.0,200000,AZN,1.00
Audi A4,20500,2010,2.0,98000,AZN,1.00
Audi A4,5400,1996,2.8,170000,AZN,1.00
Audi A4,77000,2002,2.0,321112,AZN,1.00
Audi A4,12500,2007,2.0,160000,AZN,1.00
Audi A4,10300,2005,2.0,300000,AZN,1.00
Audi A4,24000,2011,2.0,213000,AZN,1.00
Audi A4,8800,2006,2.0,270000,AZN,1.00
Audi A4,13000,2006,2.1,170000,AZN,1.00
Audi A4,6900,1997,1.8,374000,AZN,1.00
Audi A4,28500,2013,1.8,155000,AZN,1.00
Audi A4,21500,2010,2.0,180000,$,1.70
Audi A4,19000,2014,1.8,102076,$,1.70
Audi A4,36000,2018,2.0,7500,$,1.70
Audi A4,13000,2006,2.0,240000,AZN,1.00
Audi A4,10500,2005,2.0,140600,AZN,1.00
Audi A4,15200,2006,1.8,143000,AZN,1.00
Audi A4,3800,1998,2.8,203980,AZN,1.00
Audi A4,8000,2002,1.8,230122,AZN,1.00
Audi A4,10800,2006,2.0,141000,AZN,1.00
Audi A4,10500,2004,1.8,190000,AZN,1.00
Audi A4,10800,2004,1.8,220000,AZN,1.00
Audi A4,4700,1998,2.5,334000,AZN,1.00
Audi A4,4000,2002,2.4,240000,$,1.70
Audi A4,13900,2007,2.0,143391,AZN,1.00
Audi A4,10900,2005,2.0,135000,AZN,1.00
Audi A4,17500,2013,1.8,112000,$,1.70
Audi A4,25000,2012,2.0,50000,AZN,1.00
Audi A4,17800,2012,1.8,79000,$,1.70
Audi A5,15300,2011,2.0,105000,$,1.70
Audi A5,25500,2014,2.0,78000,$,1.70
Audi A5,31000,2014,2.0,90000,$,1.70
Audi A5,20300,2012,2.0,108801,$,1.70
Audi A5,25800,2013,2.0,87000,$,1.70
Audi A5,15300,2011,2.0,105000,$,1.70
Audi A5,23700,2013,2.0,78450,$,1.70
